frame_number,time_seconds,cluster_0_similarity,cluster_1_similarity,cluster_2_similarity
0,0.0,0.9979869750543575,0.9894294998479416,0.9876521717524
1,0.016666666666666666,0.9984900614175802,0.9896604709486575,0.9871494619945429
2,0.03333333333333333,0.998304543904172,0.9895037731104337,0.9872072991087126
3,0.05,0.9981673282888832,0.9894025947889956,0.9870969381115682
4,0.06666666666666667,0.9985504995025077,0.9898937237656484,0.987377184268706
5,0.08333333333333333,0.9976301549058232,0.9901268336317328,0.9882742623944069
6,0.1,0.9978727286668161,0.9891319347810501,0.9869986353616258
7,0.11666666666666667,0.9970589118187654,0.9893006903830164,0.9876857894520261
8,0.13333333333333333,0.9972876232969309,0.9880142484160617,0.986418316909955
9,0.15,0.9979174020151111,0.9883739739214924,0.9870471673262462
10,0.16666666666666666,0.9973787629970058,0.9863661715638771,0.9858123015433802
11,0.18333333333333332,0.9965646363906668,0.986301980518586,0.9862403492794833
12,0.2,0.9961234821172549,0.9885063545971626,0.9882629616250281
13,0.21666666666666667,0.9976974828185724,0.9887839646190889,0.9899268482885777
14,0.23333333333333334,0.9975025501186066,0.9895565912006639,0.9919507719549938
15,0.25,0.9979413047485488,0.9898107717962368,0.9923275497986572
16,0.26666666666666666,0.9982951025986252,0.9902706264552159,0.9924097227092197
17,0.2833333333333333,0.9973867094751261,0.9906459613163213,0.9922806340694359
18,0.3,0.9957383580559347,0.9898930337163252,0.9922468482816664
19,0.31666666666666665,0.9957664912975744,0.991183941909349,0.9938344124333083
20,0.3333333333333333,0.9939503952475965,0.9913718241009382,0.9960500149620153
21,0.35,0.9925697185609899,0.9915339358468198,0.9952546037730394
22,0.36666666666666664,0.987086414112621,0.9895203322631478,0.9938608216213296
23,0.38333333333333336,0.985374557021,0.9896389368748602,0.9955229392721748
24,0.4,0.9860162604260987,0.9898872564819381,0.9985065431851127
25,0.4166666666666667,0.9895235065024781,0.9928039766294707,1.0000000000000002
26,0.43333333333333335,0.9905930555865771,0.9948110040333381,0.9989867883593779
27,0.45,0.9896241864526718,0.99540874349051,0.9990931629106721
28,0.4666666666666667,0.9864436038784267,0.9941308832421238,0.9989139711529944
29,0.48333333333333334,0.9896620382946878,0.9971730982271453,0.9983886640814366
30,0.5,0.9897921683586512,0.9981624614214604,0.9972140534359328
31,0.5166666666666667,0.98835510015024,0.9980005054197357,0.9969659531494539
32,0.5333333333333333,0.985447548993893,0.9972724373046218,0.9964621847625392
33,0.55,0.9879914832322173,0.9990062233159048,0.9952446161677141
34,0.5666666666666667,0.9863910387375829,0.9987627604334843,0.9944815626467107
35,0.5833333333333334,0.9882698083995485,0.9996568856857165,0.9929971243475645
36,0.6,0.9897164009373073,0.9987717727587206,0.9902360289063082
37,0.6166666666666667,0.9897786049934684,0.9984947256372405,0.9888442415899996
38,0.6333333333333333,0.9901496554385398,0.9988045330690506,0.9903844188851514
39,0.65,0.9870738137960435,0.9986266147542407,0.9934512987534032
40,0.6666666666666666,0.987927687015668,0.9992260019214829,0.9935615784491046
41,0.6833333333333333,0.9839159531368893,0.9968946334812913,0.9936780991402521
42,0.7,0.9830807168306741,0.9963806782057287,0.9942461780039614
43,0.7166666666666667,0.9869702758483434,0.9982449833756364,0.9961152180429331
44,0.7333333333333333,0.9894505136587034,0.9990464856966199,0.9956777792015963
45,0.75,0.9904011319379074,0.9988066056346603,0.9962323890494704
46,0.7666666666666667,0.989356912308027,0.9976821055927184,0.9972347726919109
47,0.7833333333333333,0.9896629291632183,0.996872845785698,0.9979603715340836
48,0.8,0.9892661088255372,0.9957488858908485,0.9959246852924348
49,0.8166666666666667,0.9861733853077543,0.993476550166178,0.9952391978545221
50,0.8333333333333334,0.9838404991140393,0.9912883853450605,0.992981612609247
51,0.85,0.9884563541672393,0.9914423874881672,0.9983123729482735
52,0.8666666666666667,0.9805241506657575,0.9881938323502284,0.9947766161160579
53,0.8833333333333333,0.9904869681662063,0.9931783192554,0.9974905520859882
54,0.9,0.9967222128396234,0.9932989854912839,0.9957919757056439
55,0.9166666666666666,0.9977667675357084,0.9926059855093818,0.9946968645015399
56,0.9333333333333333,0.9984863395854511,0.9922415680479872,0.9933900143658656
57,0.95,0.9989550245600036,0.9919431908947959,0.991981330426196
58,0.9666666666666667,0.9990288013761287,0.9917953327385765,0.9926441100201456
59,0.9833333333333333,0.9991061325847186,0.9913696836196078,0.992304687720101
60,1.0,0.999574043763373,0.9908546124171371,0.9899758130657964
61,1.0166666666666666,0.9991002298479582,0.9901459371134239,0.9885445026711901
62,1.0333333333333334,0.9998616137267702,0.9898063373959456,0.9881069992094536
63,1.05,0.9997006409411138,0.9893484048100056,0.9877968693917537
64,1.0666666666666667,0.9997595210299848,0.9893972230355212,0.9882778310514264
65,1.0833333333333333,0.9995111794083215,0.9891115573738577,0.9886453645790604
66,1.1,0.9982110534370883,0.9883205617577844,0.9891195763595166
67,1.1166666666666667,0.9995805577091212,0.9909478191016843,0.9920656456700144
68,1.1333333333333333,0.997538298415814,0.9910287683393232,0.9944988489766415
69,1.15,0.9979065701584751,0.9918952415923781,0.9952739110952371
70,1.1666666666666667,0.9965513103494021,0.991135815057155,0.9960331726693775
71,1.1833333333333333,0.9959394872914582,0.9898986138806464,0.995282092458454
72,1.2,0.9956627818158328,0.9922669384267981,0.9971920273464315
73,1.2166666666666666,0.9914323095684237,0.992762111657343,0.9977333877571148
